Date,Concatenate,Day,Month,Year,Band,Headline,Support,Venue,Notes
27 January 2016,"On this day in 2016 Mike saw Libertines supported by Sherlocks, Enemy at Birmingham Barclaycard Arena",27,1,2016,Libertines,The Libertines,"Sherlocks, Enemy",Birmingham Barclaycard Arena,
28 January 1994,On this day in 1994 Mike saw Th' Faith Healers at Clapham - The Grand,28,1,1994,Th' Faith Healers,Th' Faith Healers,,Clapham - The Grand,
28 January 2013,On this day in 2013 Mike saw History of Apple Pie at London Rough Trade East,28,1,2013,History of Apple Pie,The History of Apple Pie,,London Rough Trade East,
29 January 2008,"On this day in 2008 Mike saw Blood Red Shoes supported by Make Model, The Screening at Leicester - The Charlotte",29,1,2008,Blood Red Shoes,Blood Red Shoes,"Make Model, The Screening",Leicester - The Charlotte,
31 January 1995,On this day in 1995 Mike saw Pagan Billy at Cambridge - Man in the Moon,31,1,1995,Pagan Billy,Pagan Billy,,Cambridge - Man in the Moon,
1 February 1989,On this day in 1989 Mike saw Waterboys at Cambridge Corn Exchange,1,2,1989,Waterboys,The Waterboys,,Cambridge Corn Exchange,
1 February 1992,On this day in 1992 Mike saw Buzzcocks supported by Strangelove at Clapham - The Grand,1,2,1992,Buzzcocks,Buzzcocks,Strangelove,Clapham - The Grand,
3 February 1990,On this day in 1990 Mike saw Frank Sidebottom at Loughborough University,3,2,1990,Frank Sidebottom,Frank Sidebottom,,Loughborough University,
3 February 2011,On this day in 2011 Mike saw Wire at Nottingham Rescue Rooms,3,2,2011,Wire,Wire,,Nottingham Rescue Rooms,
3 February 2012,On this day in 2012 Mike saw Black Keys supported by Band of Skulls at Nottingham Arena,3,2,2012,Black Keys,The Black Keys,Band of Skulls,Nottingham Arena,
3 February 2018,On this day in 2018 Mike saw Wedding Present at Sheffield Leadmill,3,2,2018,Wedding Present,The Wedding Present,,Sheffield Leadmill,
4 February 1997,On this day in 1997 Mike saw Boo Radleys supported by Supernaturals at Leicester De Montfort University,4,2,1997,Boo Radleys,Boo Radleys,Supernaturals,Leicester De Montfort University,
4 February 2017,On this day in 2017 Mike saw Cabbage supported by Shimmer Band at Leicester The Cookie,4,2,2017,Cabbage,Cabbage,Shimmer Band,Leicester The Cookie,
5 February 1992,On this day in 1992 Mike saw Lush supported by Spitfire at Cambridge - The Junction,5,2,1992,Lush,Lush,Spitfire,Cambridge - The Junction,
5 February 2005,On this day in 2005 Mike saw House of Love supported by New Rhodes at Oxford Zodiac,5,2,2005,House of Love,House of Love,New Rhodes,Oxford Zodiac,
6 February 1990,On this day in 1990 Mike saw Psychedelic Furs supported by Fat Lady Sings at Brixton Academy,6,2,1990,Psychedelic Furs,The Psychedelic Furs,Fat Lady Sings,Brixton Academy,
7 February 1995,On this day in 1995 Mike saw Siouxie & the Banshees at Cambridge Corn Exchange,7,2,1995,Siouxie & the Banshees,Siouxie & the Banshees,,Cambridge Corn Exchange,
7 February 2019,On this day in 2019 Mike saw Peter Hook & the Light at Nottingham Rock City,7,2,2019,Peter Hook & the Light,Peter Hook & the Light,,Nottingham Rock City,
8 February 2011,On this day in 2011 Mike saw Chapel Club supported by David's Lyre at Nottingham Bodega,8,2,2011,Chapel Club,Chapel Club,David's Lyre,Nottingham Bodega,
9 February 1995,On this day in 1995 Mike saw Morrissey supported by Marion at Cambridge Corn Exchange,9,2,1995,Morrissey,Morrissey,Marion,Cambridge Corn Exchange,
9 February 2010,"On this day in 2010 Mike saw Maccabees supported by Drums, Big Pink, Bombay Bicycle Club at Nottingham Rock City",9,2,2010,Maccabees,The Maccabees,"Drums, Big Pink, Bombay Bicycle Club",Nottingham Rock City,
9 February 2019,"On this day in 2019 Mike saw Skids at Derby, The Venue",9,2,2019,Skids,The Skids,,"Derby, The Venue",
10 February 1994,On this day in 1994 Mike saw Blue Aeroplanes supported by A House at Cambridge - The Junction,10,2,1994,Blue Aeroplanes,Blue Aeroplanes,A House,Cambridge - The Junction,
10 February 2010,On this day in 2010 Mike saw Sunshine Underground supported by Cosmo Jarvis at Stoke Sugarmill,10,2,2010,Sunshine Underground,The Sunshine Underground,Cosmo Jarvis,Stoke Sugarmill,
11 February 1992,On this day in 1992 Mike saw Sultans of Ping FC at Bath Moles Club,11,2,1992,Sultans of Ping FC,Sultans of Ping FC,,Bath Moles Club,
11 February 2006,"On this day in 2006 Mike saw Maximo Park supported by Arctic Monkeys, We Are Scientists, Mystery Jets at Cardiff University",11,2,2006,Maximo Park,Maximo Park,"Arctic Monkeys, We Are Scientists, Mystery Jets",Cardiff University,
12 February 1990,On this day in 1990 Mike saw Godfathers supported by We Are Going To Eat You at Cambridge Corn Exchange,12,2,1990,Godfathers,The Godfathers,We Are Going To Eat You,Cambridge Corn Exchange,
12 February 1997,On this day in 1997 Mike saw Goldblade at Leicester - The Charlotte,12,2,1997,Goldblade,Goldblade,,Leicester - The Charlotte,
12 February 2016,On this day in 2016 Mike saw Beat at Nottingham Rescue Rooms,12,2,2016,Beat,The Beat,,Nottingham Rescue Rooms,
14 February 1991,"On this day in 1991 Mike saw Carter the Unstoppable Sex Machine supported by EMF, Family Cat, Bleach, Th' Faith Healers at University of London (ULU)",14,2,1991,Carter the Unstoppable Sex Machine,Carter the Unstoppable Sex Machine,"EMF, Family Cat, Bleach, Th' Faith Healers",University of London (ULU),
14 February 2011,On this day in 2011 Mike saw Feeder supported by Morning Parade at Nottingham Rock City,14,2,2011,Feeder,Feeder,Morning Parade,Nottingham Rock City,
15 February 1992,On this day in 1992 Mike saw Wedding Present at Cambridge - The Junction,15,2,1992,Wedding Present,The Wedding Present,,Cambridge - The Junction,
15 February 1994,On this day in 1994 Mike saw Cocteau Twins supported by Seafeel at Cambridge Corn Exchange,15,2,1994,Cocteau Twins,Cocteau Twins,Seafeel,Cambridge Corn Exchange,
15 February 2005,On this day in 2005 Mike saw Carbon Silicon supported by Witnesses at Leicester - The Charlotte,15,2,2005,Carbon Silicon,Carbon Silicon,Witnesses,Leicester - The Charlotte,
15 February 2014,On this day in 2014 Mike saw Peter Hook & the Light at Leamington Spa Assembly,15,2,2014,Peter Hook & the Light,Peter Hook & the Light,,Leamington Spa Assembly,
15 February 2016,"On this day in 2016 Mike saw PINS supported by Peace and Love Barbershop Muhammad Ali (PALBMA), The Lids at Leicester University, The Scholar",15,2,2016,PINS,PINS,"Peace and Love Barbershop Muhammad Ali (PALBMA), The Lids","Leicester University, The Scholar",
17 February 2005,On this day in 2005 Mike saw Concretes supported by Frida Hyvonen at Nottingham Rescue Rooms,17,2,2005,Concretes,The Concretes,Frida Hyvonen,Nottingham Rescue Rooms,
18 February 1991,On this day in 1991 Mike saw Fatima Mansions supported by Blind Mice at Cambridge - The Junction,18,2,1991,Fatima Mansions,Fatima Mansions,Blind Mice,Cambridge - The Junction,
19 February 1992,On this day in 1992 Mike saw Becketts supported by Curious Oyster at Camden Falcon,19,2,1992,Becketts,The Becketts,Curious Oyster,Camden Falcon,
19 February 2015,On this day in 2015 Mike saw Wire supported by Xaviers at Leicester - The Musician,19,2,2015,Wire,Wire,Xaviers,Leicester - The Musician,
19 February 2016,On this day in 2016 Mike saw Savages supported by Bo Ningen at Cambridge - The Junction,19,2,2016,Savages,Savages,Bo Ningen,Cambridge - The Junction,
19 February 2019,On this day in 2019 Mike saw Catfish and the Bottlemen supported by Twin Atlantic at Nottingham Arena,19,2,2019,Catfish and the Bottlemen,Catfish and the Bottlemen,Twin Atlantic,Nottingham Arena,
20 February 2020,On this day in 2020 Mike saw Dry Cleaning at Cambridge Portland Arms,20,2,2020,Dry Cleaning,Dry Cleaning,,Cambridge Portland Arms,
21 February 1990,On this day in 1990 Mike saw Wedding Present supported by Groove Farm at London Subterranea,21,2,1990,Wedding Present,The Wedding Present,Groove Farm,London Subterranea,
22 February 1991,"On this day in 1991 Mike saw Cud supported by RDF, Welfare Heroine at University of London (ULU)",22,2,1991,Cud,Cud,"RDF, Welfare Heroine",University of London (ULU),
22 February 2020,"On this day in 2020 Mike saw LIFE, Pip Blom, Talk Show, Yowl, at Dark Arts Festival, Leeds Belgrave Music Hall",22,2,2020,Dark Arts Festival,Pip Blom,"LIFE, Pip Blom, Talk Show, Yowl",Leeds Belgrave Music Hall,
24 February 2007,On this day in 2007 Mike saw Little Man Tate supported by Underground Heroes at Leicester - The Charlotte,24,2,2007,Little Man Tate,Little Man Tate,Underground Heroes,Leicester - The Charlotte,
24 February 2014,On this day in 2014 Mike saw Fat White Family at Nottingham Bodega,24,2,2014,Fat White Family,Fat White Family,,Nottingham Bodega,
26 February 1989,On this day in 1989 Mike saw Throwing Muses supported by Sundays at London Town & Country Club,26,2,1989,Throwing Muses,Throwing Muses,Sundays,London Town & Country Club,
26 February 1992,On this day in 1992 Mike saw Thousand Yard Stare supported by Frank & Walters at Cambridge - The Junction,26,2,1992,Thousand Yard Stare,Thousand Yard Stare,Frank & Walters,Cambridge - The Junction,
26 February 1994,On this day in 1994 Mike saw Pagan Billy at Cambridge - Man in the Moon,26,2,1994,Pagan Billy,Pagan Billy,,Cambridge - Man in the Moon,
27 February 1990,"On this day in 1990 Mike saw Cramps supported by Mega City Four, Blur at Brixton Academy",27,2,1990,Cramps,The Cramps,"Mega City Four, Blur",Brixton Academy,
27 February 1994,On this day in 1994 Mike saw Pavement supported by Bumfeld at Cambridge - The Junction,27,2,1994,Pavement,Pavement,Bumfeld,Cambridge - The Junction,
27 February 2007,On this day in 2007 Mike saw Fratellis supported by Enemy at Birmingham Carling Academy ,27,2,2007,Fratellis,The Fratellis,Enemy,Birmingham Carling Academy ,
28 February 1991,On this day in 1991 Mike saw Ned's Atomic Dustbin supported by Drop at Cambridge Corn Exchange,28,2,1991,Ned's Atomic Dustbin,Ned's Atomic Dustbin,Drop,Cambridge Corn Exchange,
29 February 1992,On this day in 1992 Mike saw Power of Dreams supported by Crane at New Cross - The Venue,29,2,1992,Power of Dreams,Power of Dreams,Crane,New Cross - The Venue,
29 February 2016,On this day in 2016 Mike saw Cult supported by Broken Hands at Nottingham Rock City,29,2,2016,Cult,The Cult,Broken Hands,Nottingham Rock City,
1 March 1989,On this day in 1989 Mike saw Wonderstuff supported by Head of David at Cambridge Corn Exchange,1,3,1989,Wonderstuff,The Wonderstuff,Head of David,Cambridge Corn Exchange,
1 March 1992,On this day in 1992 Mike saw Ride supported by Verve at Cambridge Corn Exchange,1,3,1992,Ride,Ride,Verve,Cambridge Corn Exchange,
1 March 1993,On this day in 1993 Mike saw Suede supported by Sharkboy at Cambridge - The Junction,1,3,1993,Suede,Suede,Sharkboy,Cambridge - The Junction,
1 March 2007,"On this day in 2007 Mike saw Los Campesinos supported by Sky Larkin, Johnny Foreigner at Nottingham - The Social",1,3,2007,Los Campesinos,Los Campesinos,"Sky Larkin, Johnny Foreigner",Nottingham - The Social,
2 March 1983,On this day in 1983 Mike saw U2 at Lancaster University,2,3,1983,U2,U2,,Lancaster University,
2 March 1995,"On this day in 1995 Mike saw Pagan Billy supported by Kid Blue, Mana Maya at Cambridge - The Junction",2,3,1995,Pagan Billy,Pagan Billy,"Kid Blue, Mana Maya",Cambridge - The Junction,
3 March 1989,On this day in 1989 Mike saw House of Love at Norwich University (UEA),3,3,1989,House of Love,House of Love,,Norwich University (UEA),
3 March 2006,On this day in 2006 Mike saw Editors supported by Brakes at Birmingham Carling Academy ,3,3,2006,Editors,Editors,Brakes,Birmingham Carling Academy ,
3 March 2018,"On this day in 2018 Mike saw Sleeper supported by Pink Kink at Leicester University, The Scholar",3,3,2018,Sleeper,Sleeper,Pink Kink,"Leicester University, The Scholar",
4 March 1989,On this day in 1989 Mike saw House of Love at Canterbury University,4,3,1989,House of Love,House of Love,,Canterbury University,
4 March 1990,"On this day in 1990 Mike saw Loop supported by World Domination Enterprises, Godflesh at London Town & Country Club",4,3,1990,Loop,Loop,"World Domination Enterprises, Godflesh",London Town & Country Club,
4 March 1991,On this day in 1991 Mike saw Ride supported by Slowdive at Cambridge Corn Exchange,4,3,1991,Ride,Ride,Slowdive,Cambridge Corn Exchange,
4 March 2007,On this day in 2007 Mike saw Howling Bells supported by Cinematics at Nottingham Rescue Rooms,4,3,2007,Howling Bells,Howling Bells,Cinematics,Nottingham Rescue Rooms,
4 March 2017,On this day in 2017 Mike saw XX supported by Francis and the Lights at Nottingham Arena,4,3,2017,XX,The XX,Francis and the Lights,Nottingham Arena,
5 March 1992,On this day in 1992 Mike saw Mega City Four supported by Midway Still at Cambridge - The Junction,5,3,1992,Mega City Four,Mega City Four,Midway Still,Cambridge - The Junction,
6 March 1995,"On this day in 1995 Mike saw Carter the Unstoppable Sex Machine supported by Salad, Thurman at Cambridge Corn Exchange",6,3,1995,Carter the Unstoppable Sex Machine,Carter the Unstoppable Sex Machine,"Salad, Thurman",Cambridge Corn Exchange,
6 March 2004,On this day in 2004 Mike saw Stereolab at Nottingham Rescue Rooms,6,3,2004,Stereolab,Stereolab,,Nottingham Rescue Rooms,
7 March 1998,On this day in 1998 Mike saw Juniper at Dublin Olympia,7,3,1998,Juniper,Juniper,,Dublin Olympia,
7 March 2011,On this day in 2011 Mike saw Mona supported by Tape the Radio at Stoke Sugarmill,7,3,2011,Mona,Mona,Tape the Radio,Stoke Sugarmill,
8 March 1995,"On this day in 1995 Mike saw Pop Will Eat Itself supported by Loop Guru, Weirds War at Hatfield Forum",8,3,1995,Pop Will Eat Itself,Pop Will Eat Itself,"Loop Guru, Weirds War",Hatfield Forum,
9 March 1990,On this day in 1990 Mike saw House of Love supported by Dave Howard Singers at London Royal Albert Hall,9,3,1990,House of Love,House of Love,Dave Howard Singers,London Royal Albert Hall,
9 March 2005,On this day in 2005 Mike saw Wedding Present supported by Scanners at Leicester - The Charlotte,9,3,2005,Wedding Present,The Wedding Present,Scanners,Leicester - The Charlotte,
10 March 1998,"On this day in 1998 Mike saw Prolapse supported by Novak, Black Dahlias at Leicester - Physio & Firkin",10,3,1998,Prolapse,Prolapse,"Novak, Black Dahlias",Leicester - Physio & Firkin,
10 March 2016,On this day in 2016 Mike saw Eagulls supported by Fear of Men at Leicester Oddfellows,10,3,2016,Eagulls,Eagulls,Fear of Men,Leicester Oddfellows,
10 March 2017,On this day in 2017 Mike saw Peter Hook & the Light at Leamington Spa Assembly,10,3,2017,Peter Hook & the Light,Peter Hook & the Light,,Leamington Spa Assembly,
11 March 2014,On this day in 2014 Mike saw Maximo Park at Nottingham Rock City,11,3,2014,Maximo Park,Maximo Park,,Nottingham Rock City,
12 March 1991,On this day in 1991 Mike saw Carter the Unstoppable Sex Machine supported by Bob at Cambridge - The Junction,12,3,1991,Carter the Unstoppable Sex Machine,Carter the Unstoppable Sex Machine,Bob,Cambridge - The Junction,
13 March 1991,On this day in 1991 Mike saw Throwing Muses supported by Anastasia Screamed at Cambridge - The Junction,13,3,1991,Throwing Muses,Throwing Muses,Anastasia Screamed,Cambridge - The Junction,
13 March 1998,"On this day in 1998 Mike saw Urusei Yatsura supported by Prolapse, Magoo at Wolverhampton Varsity",13,3,1998,Urusei Yatsura,Urusei Yatsura,"Prolapse, Magoo",Wolverhampton Varsity,
13 March 2008,On this day in 2008 Mike saw Inspiral Carpets supported by Lowline at Nottingham Rescue Rooms,13,3,2008,Inspiral Carpets,Inspiral Carpets,Lowline,Nottingham Rescue Rooms,
13 March 2013,On this day in 2013 Mike saw My Bloody Valentine at Hammersmith Odeon,13,3,2013,My Bloody Valentine,My Bloody Valentine,,Hammersmith Odeon,
13 March 2016,On this day in 2016 Mike saw Ringo Deathstarr supported by Courtney Askey at Leicester The Cookie,13,3,2016,Ringo Deathstarr,Ringo Deathstarr,Courtney Askey,Leicester The Cookie,
16 March 2013,On this day in 2013 Mike saw Killing Joke at Kentish Town - The Forum,16,3,2013,Killing Joke,Killing Joke,,Kentish Town - The Forum,
17 March 1990,On this day in 1990 Mike saw Stranglers supported by Ugly as Sin at Cambridge Corn Exchange,17,3,1990,Stranglers,The Stranglers,Ugly as Sin,Cambridge Corn Exchange,
17 March 1993,On this day in 1993 Mike saw Pagan Billy at Cambridge Catholic Club,17,3,1993,Pagan Billy,Pagan Billy,,Cambridge Catholic Club,
17 March 1994,On this day in 1994 Mike saw Pagan Billy at Cambridge Rathmore Club,17,3,1994,Pagan Billy,Pagan Billy,,Cambridge Rathmore Club,
17 March 1995,On this day in 1995 Mike saw Pagan Billy at Cambridge Rathmore Club,17,3,1995,Pagan Billy,Pagan Billy,,Cambridge Rathmore Club,
17 March 2009,On this day in 2009 Mike saw Doves at Coventry Kasbah,17,3,2009,Doves,Doves,,Coventry Kasbah,
17 March 2016,On this day in 2016 Mike saw Savages supported by Bo Ningen at Camden Roundhouse,17,3,2016,Savages,Savages,Bo Ningen,Camden Roundhouse,
18 March 1990,"On this day in 1990 Mike saw Stiff Little Fingers supported by Vibrators, Bluebirds at Brixton Academy",18,3,1990,Stiff Little Fingers,Stiff Little Fingers,"Vibrators, Bluebirds",Brixton Academy,
19 March 2013,On this day in 2013 Mike saw Girls Aloud supported by Amelia Lily at Nottingham Arena,19,3,2013,Girls Aloud,Girls Aloud,Amelia Lily,Nottingham Arena,
20 March 1988,On this day in 1988 Mike saw Primitives supported by Ten Ten at Warrington Legends,20,3,1988,Primitives,The Primitives,Ten Ten,Warrington Legends,
20 March 1995,On this day in 1995 Mike saw Back to the Planet supported by Scum from Toyland at Cambridge - The Junction,20,3,1995,Back to the Planet,Back to the Planet,Scum from Toyland,Cambridge - The Junction,
21 March 1990,On this day in 1990 Mike saw Fall supported by Senseless Things at London Kilburn National,21,3,1990,Fall,The Fall,Senseless Things,London Kilburn National,
23 March 2017,On this day in 2017 Mike saw Lloyd Cole at Leamington Spa Assembly,23,3,2017,Lloyd Cole,Lloyd Cole,,Leamington Spa Assembly,
24 March 1990,On this day in 1990 Mike saw House of Love supported by Some Have Fins at Birmingham Hummingbird,24,3,1990,House of Love,House of Love,Some Have Fins,Birmingham Hummingbird,
25 March 1993,On this day in 1993 Mike saw DOA at Cambridge Boat Race,25,3,1993,DOA,DOA,,Cambridge Boat Race,
25 March 2006,On this day in 2006 Mike saw Feeder supported by Goldie Looking Chain at Birmingham NEC,25,3,2006,Feeder,Feeder,Goldie Looking Chain,Birmingham NEC,
26 March 2000,On this day in 2000 Mike saw Damned at Leicester - The Charlotte,26,3,2000,Damned,The Damned,,Leicester - The Charlotte,
27 March 1990,On this day in 1990 Mike saw House of Love supported by Power of Dreams at Cambridge Corn Exchange,27,3,1990,House of Love,House of Love,Power of Dreams,Cambridge Corn Exchange,
27 March 2006,On this day in 2006 Mike saw Graham Coxon supported by Duels at Leicester University,27,3,2006,Graham Coxon,Graham Coxon,Duels,Leicester University,
27 March 2019,On this day in 2019 Mike saw Idles supported by Crows at Sheffield Leadmill,27,3,2019,Idles,Idles,Crows,Sheffield Leadmill,
28 March 1990,On this day in 1990 Mike saw That Petrol Emotion supported by Mighty Ethics at London Subterranea,28,3,1990,That Petrol Emotion,That Petrol Emotion,Mighty Ethics,London Subterranea,
28 March 1991,On this day in 1991 Mike saw Half Man Half Biscuit supported by Levellers 5 at New Cross - The Venue,28,3,1991,Half Man Half Biscuit,Half Man Half Biscuit,Levellers 5,New Cross - The Venue,
28 March 1992,On this day in 1992 Mike saw Curve supported by Adorable at London Town & Country Club,28,3,1992,Curve,Curve,Adorable,London Town & Country Club,
28 March 2017,On this day in 2017 Mike saw Jesus and Mary Chain supported by Shimmer Band at Leicester University,28,3,2017,Jesus and Mary Chain,Jesus & Mary Chain,Shimmer Band,Leicester University,
29 March 1995,On this day in 1995 Mike saw Gene supported by Elcka at Cambridge - The Junction,29,3,1995,Gene,Gene,Elcka,Cambridge - The Junction,
29 March 2015,"On this day in 2015 Mike saw Subways supported by Same Streets, Dune Rats! at Nottingham Rescue Rooms",29,3,2015,Subways,The Subways,"Same Streets, Dune Rats!",Nottingham Rescue Rooms,
29 March 2017,On this day in 2017 Mike saw Idles supported by Flat Mate at Nottingham Bodega,29,3,2017,Idles,Idles,Flat Mate,Nottingham Bodega,
30 March 1992,On this day in 1992 Mike saw Fall supported by Pulp at Cambridge Corn Exchange,30,3,1992,Fall,The Fall,Pulp,Cambridge Corn Exchange,
30 March 1998,On this day in 1998 Mike saw Kula Shaker at Nottingham Rock City,30,3,1998,Kula Shaker,Kula Shaker,,Nottingham Rock City,
30 March 2011,On this day in 2011 Mike saw Killing Joke at Nottingham Rock City,30,3,2011,Killing Joke,Killing Joke,,Nottingham Rock City,
31 March 1990,"On this day in 1990 Mike saw Birdland supported by Carter the Unstoppable Sex Machine, Cud, Silverfish at Brixton Academy",31,3,1990,Birdland,Birdland,"Carter the Unstoppable Sex Machine, Cud, Silverfish",Brixton Academy,
1 April 1993,On this day in 1993 Mike saw Spiritualized supported by Levitation at Cambridge - The Junction,1,4,1993,Spiritualized,Spiritualized,Levitation,Cambridge - The Junction,
4 April 1990,"On this day in 1990 Mike saw Charlottes supported by Ride, Swervedriver at Cambridge - The Junction",4,4,1990,Charlottes,The Charlottes,"Ride, Swervedriver",Cambridge - The Junction,
4 April 1991,"On this day in 1991 Mike saw Chapterhouse supported by Moose, Hallelujah Plan at Cambridge - The Junction",4,4,1991,Chapterhouse,Chapterhouse,"Moose, Hallelujah Plan",Cambridge - The Junction,
4 April 1992,On this day in 1992 Mike saw Boo Radleys supported by Pale Saints at Cambridge - The Junction,4,4,1992,Boo Radleys,Boo Radleys,Pale Saints,Cambridge - The Junction,
4 April 1993,On this day in 1993 Mike saw Gallon Drunk at Kings Cross - Scala Cinema,4,4,1993,Gallon Drunk,Gallon Drunk,,Kings Cross - Scala Cinema,
5 April 1991,On this day in 1991 Mike saw Lemonheads supported by Catherine Wheel at London Astoria,5,4,1991,Lemonheads,Lemonheads,Catherine Wheel,London Astoria,
5 April 1992,"On this day in 1992 Mike saw Jesus and Mary Chain supported by My Bloody Valentine, Blur, Dinosaur Jr at Brixton Academy",5,4,1992,Jesus and Mary Chain,Jesus & Mary Chain,"My Bloody Valentine, Blur, Dinosaur Jr",Brixton Academy,
5 April 1993,"On this day in 1993 Mike saw Lemonheads supported by Eleventh Dream Day, Joyrider at London Kilburn National",5,4,1993,Lemonheads,Lemonheads,"Eleventh Dream Day, Joyrider",London Kilburn National,
6 April 1990,"On this day in 1990 Mike saw Ride supported by Seers, Milltown Brothers at University of London (ULU)",6,4,1990,Ride,Ride,"Seers, Milltown Brothers",University of London (ULU),
6 April 1991,On this day in 1991 Mike saw Bleach supported by Nightjars at Cambridge - The Junction,6,4,1991,Bleach,Bleach,Nightjars,Cambridge - The Junction,
8 April 1995,On this day in 1995 Mike saw Pagan Billy supported by Rugs at Cambridge Boat Race,8,4,1995,Pagan Billy,Pagan Billy,Rugs,Cambridge Boat Race,
11 April 2013,On this day in 2013 Mike saw House of Love supported by Spotlight Kid at Kings Cross - Scala Cinema,11,4,2013,House of Love,House of Love,Spotlight Kid,Kings Cross - Scala Cinema,
12 April 2019,On this day in 2019 Mike saw Sleaford Mods supported by LIINES at Leicester University,12,4,2019,Sleaford Mods,Sleaford Mods,LIINES,Leicester University,
14 April 1993,On this day in 1993 Mike saw Cropdusters at Cambridge Boat Race,14,4,1993,Cropdusters,The Cropdusters,,Cambridge Boat Race,
15 April 1993,On this day in 1993 Mike saw Back to the Planet supported by Sea at Cambridge - The Junction,15,4,1993,Back to the Planet,Back to the Planet,Sea,Cambridge - The Junction,
16 April 2019,On this day in 2019 Mike saw Fontaines DC supported by Just Mustard at Nottingham Rescue Rooms,16,4,2019,Fontaines DC,Fontaines DC,Just Mustard,Nottingham Rescue Rooms,
